Code,Name,Type,Disp,RecType,CompanyCode,EnerSource,OperStartdate,State
4ZEL,AGPE JORGE A AGUILAR,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2025-08-07,OPERACION
4ZEN,AGPE ALMATEC,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2025-08-07,OPERACION
4ZEP,GD ERCO MARIANGOLA,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,ERRG,RAD SOLAR,2025-08-13,OPERACION
4ZHX,AGPE HIERBAS Y PLANTAS TROPICALES SAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2025-08-07,OPERACION
4ZIC,AGPE WILSON JARAMILLO GOMEZ,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,SCEC,RAD SOLAR,2025-08-14,OPERACION
4ZIE,AGPE CAROLINA CIFUENTES ZULUAGA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,ENBC,RAD SOLAR,2025-08-14,OPERACION
4ZIG,AGPE DIAZ CRISSIEN CORPORATION SAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2025-08-14,OPERACION
4ZII,AGPE APC FRIGORIFICOS BODEGA 105,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2025-08-14,OPERACION
4ZIK,AGPE STO 211 SANTA MARTA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2025-08-14,OPERACION
4ZIM,AGPE STO 226 MAICAO 2,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2025-08-14,OPERACION
4ZIO,GD BLANCA ENERGY I,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,CTEG,RAD SOLAR,2025-08-17,OPERACION
4ZIQ,AGPE JAVIER ALBERTO BARRIOS VERHELST,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,ENBC,RAD SOLAR,2025-08-14,OPERACION
